Sentence,NER
We show here that estrogens also reduce the number of erythroid progenitor cells in primary human bone marrow cultures .,O O O O O O O O O O O O O O O O O O O O
We demonstrate that the transcriptional activity of GATA - 1 is strongly repressed by the estrogen receptor ( ER ) in a ligand - dependent manner and that this repression is reversible in the presence of 4 - hydroxytamoxifen .,O O O O O O O B I I O O O O O B I O B O O O O O O O O O O O O O O O O O O O O O
GATA - 1 and ER bind to each other in vitro in the absence of DNA .,B I I O B O O O O O O O O O O O O
"Mapping experiments indicate that GATA - 1 and the ER form at least two contacts , which involve the finger region and the N - terminal activation domain of GATA - 1 .",O O O O B I I O O B O O O O O O O O O O O O O B I I I I O B I I O
We speculate that estrogens exert effects on erythropoiesis by modulating GATA - 1 activity through protein - protein interaction with the ER .,O O O O O O O O O O B I I O O O O O O O O B O
Mouse interleukin - 2 receptor alpha gene expression .,B I I I I I I O O
Interleukin - 1 and interleukin - 2 control transcription via distinct cis - acting elements .,B I I O B I I O O O O B I I I O
We have shown that interleukin - 1 ( IL - 1 ) and IL - 2 control IL - 2 receptor alpha ( IL - 2R alpha ) gene transcription in CD4 - CD8 - murine T lymphocyte precursors .,O O O O B I I O B I I O O B I I O B I I I I I I I I I I I O O O O O O O O O O O
Here we map the cis - acting elements that mediate interleukin responsiveness of the mouse IL - 2R alpha gene using a thymic lymphoma - derived hybridoma ( PC60 ) .,O O O O B I I I O O O O O O B I I I I I O O O O O O O O O O O
"IL - 1 induces a rapid , protein synthesis - independent appearance of IL - 2R alpha mRNA that is blocked by inhibitors of NF - kappa B activation .",B I I O O O O O O O O O O B I I I I O O O O O O B I I I O O
This segment functions as an IL - 2 - inducible enhancer and lies within a region that becomes DNase I hypersensitive in normal T cells in which IL - 2R alpha expression has been induced .,O O O O O B I I I I I O O O O O O O B I O O O O O O O B I I I O O O O O
IL - 2 responsiveness requires three distinct elements within the enhancer .,B I I O O O O B O O B O
Two of these are potential binding sites for STAT proteins .,O O O O O O O O B I O
Hematopoietic lineage commitment : role of transcription factors .,O O O O O O B I O
This review focuses on the roles of transcription factors in hematopoietic lineage commitment .,O O O O O O O B I O O O O O
A brief introduction to lineage commitment and asymmetric cell division is followed by a discussion of several methods used to identify transcription factors important in specifying hematopoietic cell types .,O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O
Next is presented a discussion of the use of embryonic stem cells in the analysis of hematopoietic gene expression and the use of targeted gene disruption to analyze the role of transcription factors in hematopoiesis .,O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O B I O O O
"Finally , the status of our current knowledge concerning the roles of transcription factors in the commitment to erythroid , myeloid and lymphoid cell types is summarized .",O O O O O O O O O O O O B I O O O O O O O O O O O O O O
Epstein - Barr virus replicative gene transcription during de novo infection of human thymocytes : simultaneous early expression of BZLF - 1 and its repressor RAZ .,O O O O O O O O O O O O O O O O O O O B I I O O O B O
We and others have shown that EBV can also infect a subset of thymocytes .,O O O O O O O O O O O O O O O
Infection of thymocytes was accompanied by the appearance of linear EBV genome within 8 hr of infection .,O O O O O O O O O B I I O O O O O O
Circularization of the EBV genome was not detected .,O O O B I O O O O
This is in contrast to the infection in B cells where the genome can circularize within 24 hr of infection .,O O O O O O O O O O O O O O O O O O O O O
"The appearance of a novel fusion transcript ( RAZ ) , which comprised regions of the BZLF - 1 locus and the adjacent BRLF - 1 locus , was detected by RT - PCR .",O O O O O B I O B O O O O O O O B I I I O O O B I I I O O O O O O O O
ZEBRA protein was also identified in infected thymocytes by immunoprecipitation .,B I O O O O O O O O O
"In addition , we demonstrated that the EBNA - 1 gene in infected thymocytes was transcribed from the Fp promoter , rather than from the Cp / Wp promoter which is used in latently infected B cells .",O O O O O O O B I I I O O O O O O O B I O O O O O B I I I O O O O O O O O O
These observations suggest that de novo EBV infection of thymocytes differs from infection of B cells .,O O O O O O O O O O O O O O O O O
Identification and purification of human Stat proteins activated in response to interleukin - 2 .,O O O O B I I O O O O B I I O
A key cytokine induced during the immune response is IL - 2 .,O O B O O O O O O B I I O
"Following T cell activation , the genes encoding IL - 2 and the various chains of its receptor are transcriptionally induced .",O O O O O O O O B I I O O O O O O O O O O O
"In turn , secreted IL - 2 serves to stimulate the proliferation and differentiation of T lymphocytes .",O O O O B I I O O O O O O O O O O O
"Following this lead , we set out to identify transcription factors induced in response to IL - 2 .",O O O O O O O O O B I O O O O B I I O
Human peripheral blood lymphocytes were observed to contain several IL - 2 - inducible DNA binding activities .,O O O O O O O O O B I I O O O O O O
"Similar activities were also observed in a transformed human lymphocyte line , termed YT .",O O O O O O O O O O O O O O O
We have purified these activities and found that the principal IL - 2 - inducible component bears significant relatedness to a prolactin - induced transcription factor first identified in sheep mammary gland tissue .,O O O O O O O O O O B I I I I I O O O O O B I I I I O O O O O O O O
"We hypothesize that activation of this protein , designated hStat5 , helps govern the biological effects of IL - 2 during the immune response .",O O O O O O O O O B O O O O O O O B I I O O O O O
"E2F - 1 and a cyclin - like DNA repair enzyme , uracil - DNA glycosylase , provide evidence for an autoregulatory mechanism for transcription .",B I I O O B I I I I I O B I I I O O O O O O O O O O
"The cell cycle - dependent transcription factor , E2F - 1 , regulates the cyclin - like species of the DNA repair enzyme uracil - DNA glycosylase ( UDG ) gene in human osteosarcoma ( Saos - 2 ) cells .",O B I I I I I O B I I O O O B O O O O O B I I B I I I I I I I O O O O O O O O O O
"The major putative downstream site for E2F , located in the first exon , serves as a target for E2F - 1 / DP1 complex binding in vitro .",O B I I I O B O O O O B I O O O O O O B I I I I I O O O O
We also provide evidence for the functional relationship between the cyclin - like UDG gene product and E2F .,O O O O O O O O O O B I I I I I O B O
High levels of UDG expression in a transient transfection assay result in the down - regulation of transcriptional activity through elements specific for E2F - mediated transcription .,O O O B O O O O O O O O O O O O O O O O B O O B O O O O
"This hypothetical model integrates one mechanism of DNA repair with the cell cycle control of gene transcription , likely through E2F .",O O O O O O O O O O O O O O O O O O O O B O
"This implicates E2F as a multifunctional target for proteins and enzymes , possibly , responsive to DNA damage through the negative effect of UDG on E2F - mediated transcriptional activity .",O O B O O O O O O O O O O O O O O O O O O O O B O B O O O O O
Interferon - gamma ( IFN - gamma ) is an important immunoregulatory protein produced predominantly by T cells and large granular lymphocytes ( LGL ) in response to different extracellular signals .,B I I O B I I O O O O B I O O O O O O O O O O O O O O O O O O O
"In particular , two interleukins ( ILs ) , IL - 2 and IL - 12 , have been shown to be potent inducers of IFN - gamma gene expression in both T cells and LGL .",O O O O B O B O O B I I O B I I O O O O O O O O O B I I O O O O O O O O O
"Although it has been reported that there are some T cell lines that produce IFN - gamma in response to IL - 2 and IL - 12 stimulation , there has as yet been no report of a natural killer ( NK ) cell line that responds in a similar manner .",O O O O O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"In this report we present evidence that the cell line NK3 . 3 derived from human NK cells , responds to both IL - 2 and IL - 12 , as measured by increases in IFN - gamma and granulocyte - macrophage colony - stimulating factor ( GM - CSF ) cytoplasmic mRNA and protein expression .",O O O O O O O O O O O O O O O O O O O O O O B I I O B I I O O O O O O B I I O B I I I I I I O B I I O O O O O O O
"The results suggest that activation of protein kinase C , but not new protein synthesis , is required for IL - 2 induction of IFN - gamma and GM - CSF cytoplasmic mRNA .",O O O O O O B I I O O O O O O O O O O B I I O O B I I I I I I I I O
"In contrast , IL - 12 induction of IFN - gamma cytoplasmic mRNA appears to only partially depend on activation of protein kinase C .",O O O B I I O O B I I I I O O O O O O O O B I I O
"Furthermore , both transforming growth factor - beta and genistein , a tyrosine kinase inhibitor , could suppress IL - 2 and IL - 12 signaling but CsA was generally inactive .",O O O B I I I I O O O O O O O O O O B I I O B I I O O O O O O O
It also was observed that suppression of cytokine gene expression by these agents was independent of the inhibition of proliferation .,O O O O O O O B I O O O O O O O O O O O O
"These data indicate that IL - 2 and IL - 12 may have distinct signaling pathways leading to the induction of IFN - gamma and GM - CSF gene expression , and that the NK3 . 3 cell line may serve as a novel model for dissecting the biochemical and molecular events involved in these pathways .",O O O O B I I O B I I O O O O O O O O O O B I I O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
A functional T - cell receptor signaling pathway is required for p95vav activity .,O O B I I I O O O O O B O O
"Stimulation of the T - cell antigen receptor ( TCR ) induces activation of multiple tyrosine kinases , resulting in phosphorylation of numerous intracellular substrates .",O O O B I I I I O B O O O O O B I O O O O O O O O O
"It contains a number of structural motifs , including Src homology 2 , Src homology 3 , and pleckstrin homology domains and a putative guanine nucleotide exchange domain .",O O O O O B I O O B I I I I I I I I I I I O O B I I I I O
The role of p95vav in TCR - mediated signaling processes is unclear .,O O O B O B O O O O O O O
"Here , we show that overexpression of p95vav alone in Jurkat T cells leads to activation of the nuclear factors , including NFAT , involved in interleukin - 2 expression .",O O O O O O O B O O O O O O O O O O B I O O B O O O B I I O O
"In contrast , NFAT activation by a G - protein - coupled receptor is not modulated by p95vav overexpression , suggesting that the effect is specific to the TCR signaling pathways .",O O O B O O O B I I I I I O O O O B O O O O O O O O O O B O O O
"Although removal of the first 67 amino acids of p95vav activates its transforming potential in NIH 3T3 cells , this region appears to be required for its function in T cells .",O O O O B I I I O B O O O O O O O O O O O O O O O O O O O O O O
"We further demonstrate that the p95vav - induced NFAT activation is not mimicked by Ras activation , though its function is dependent upon Ras and Raf .",O O O O O B O O B O O O O O B O O O O O O O O B O B O
"To further dissect p95vav involvement in TCR signaling , we analyzed various Jurkat mutants deficient in TCR signaling function or TCR expression and showed that an intact TCR signaling pathway is required for p95vav to function .",O O O B O O B O O O O O O O O O B O O O B O O O O O O B O O O O O B O O O
"However , overexpression of p95vav does not appear to influence TCR - induced protein tyrosine phosphorylation or increases in cytoplasmic free calcium .",O O O O B O O O O O B O O O O O O O O O O O O
"Taken together , our data suggest that p95vav plays an important role at an yet unidentified proximal position in the TCR signaling cascade .",O O O O O O O B O O O O O O O O O O O O B O O O
"Positive and negative regulation of granulocyte - macrophage colony - stimulating factor promoter activity by AML1 - related transcription factor , PEBP2 .",O O O O O B I I I I I I O O O B I I I I O B O
"The granulocyte - macrophage colony - stimulating factor ( GM - CSF ) gene promoter contains a consensus sequence for the polyomavirus enhancer binding - protein 2 ( PEBP2 ) transcription factor , which consists of alpha and beta subunits .",O B I I I I I I I I I I I I I O O O O O O B I I I I I I I I I I O O O O B I I I O
"There are at least two genes , alpha A and alpha B , encoding the alpha subunit .",O O O O O O O B I O B I O O O B I O
"PEBP2 alpha A1 , alpha B1 , and alpha B2 proteins bound the PEBP2 site within the mouse GM - CSF promoter .",B I I O B I O O B I I O O B I O O B I I I I O
PEBP2 alpha A1 and alpha B1 enhanced the expression of the GM - CSF promoter - driven reporter plasmid in unstimulated and 12 - O - tetradecanoylphorbol 13 - acetate / phytohemagglutinin - stimulated human Jurkat T cells .,B I I O B I O O O O O B I I I I I I I O O O O O O O O O O O O O O O O O O O O
"In contrast , the promoter activity was suppressed by alpha B2 .",O O O O O O O O O B I O
Coexpression of alpha B1 and alpha B2 showed that the promoter activity could be determined by the alpha B1 / alpha B2 ratio .,O O B I O B I O O O O O O O O O O B I B I I O O
Jurkat cell extract contained PEBP2 site - binding protein ( s ) that cross - reacted with antimouse alpha A1 antibodies .,O O O O B I I I I O O O O O O O O B I I I O
"Northern blot analysis indicated the expression of human PEBP2 alpha A , alpha B ( AML1 ) , and beta genes in Jurkat cells .",O O O O O O O O B I I O B I O B O O O B I O O O O
"The augmentation of LPS responses by interferon gamma ( IFN - gamma ) , referred to as priming , is well established .",O O O O O O B I O B I I O O O O O O O O O O O
"However , the mechanism ( s ) by which priming occurs is poorly defined .",O O O O O O O O O O O O O O O
"Using tumour necrosis factor ( TNF ) induction as a model , experiments were designed to analyse in detail the priming effect on the LPS response in human monocytes .",O B I I O B O O O O O O O O O O O O O O O O O O O O O O O O
Priming by IFN - gamma was primarily manifested at the level of TNF mRNA accumulation .,O O B I I O O O O O O O B I O O
IFN - gamma pre - treatment affected the magnitude rather than the sensitivity of the LPS response .,B I I O O O O O O O O O O O O O O O
"Priming occurred after several hours of treatment , and the primed state was induced by either IFN - gamma or GM - CSF , but not M - CSF .",O O O O O O O O O O O O O O O O B I I O B I I O O O B I I O
Primed monocytes transcribed TNF mRNA at a higher rate than freshly isolated monocytes upon activation with LPS .,O O O B I O O O O O O O O O O O O O
An additional significant finding was than TNF mRNA induced in primed cells was much more stable than in unprimed cells ( T1 / 2 increased 6 - 8 - fold ) .,O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O
"Finally , primed and unprimed cells possessed a differential sensitivity to the kinase inhibitor H - 89 .",O O O O O O O O O O O O O O O O O O
( ABSTRACT TRUNCATED AT 250 WORDS ),O O O O O O O
The CD4 promoter plays an important role in the developmental control of CD4 transcription .,O B I O O O O O O O O O B O O
"In this report , we show that the minimal CD4 promoter has four factor binding sites , each of which is required for full function .",O O O O O O O O O B I O O B I I O O O O O O O O O O
"Using biochemical and mutagenesis analyses , we determined that multiple nuclear factors bind to these independent sites .",O O O O O O O O O O B I O O O O O O
We determined that an initiator - like sequence present at the cap site and an Ets consensus sequence are required for full promoter function .,O O O O B I I I O O O B I O O B I I O O O O B O O
We also demonstrate that the Myc - associated zinc finger protein ( MAZ ) appears to be the predominant factor binding to one of these sites .,O O O O O B I I I I I O B O O O O O B I O O O O O O O
This last site closely resembles the ME1a1 G3AG4AG3 motif previously shown to be a critical element in the P2 promoter of the c - myc gene .,O O O O O O B I I O O O O O O O O O B I O O B I I I O
We therefore believe that the MAZ transcription factor is also likely to play an important role in the control of developmental expression of the CD4 gene .,O O O O O B I I O O O O O O O O O O O O O O O O B I O
Erythropoietin stimulates transcription of the TAL1 / SCL gene and phosphorylation of its protein products .,B O O O O B I I I O O O O B I O
"Activation of the TAL1 ( or SCL ) gene , originally identified through its involvement by a recurrent chromosomal translocation , is the most frequent molecular lesion recognized in T - cell acute lymphoblastic leukemia .",O O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O
The protein products of this gene contain the basic - helix - loop - helix motif characteristic of a large family of transcription factors that bind to the canonical DNA sequence CANNTG as protein heterodimers .,O B I O O O O O B I I I I I I I O O O O O O B I O O O O B I I I O B I O
TAL1 expression by erythroid cells in vivo and in chemical - induced erythroleukemia cell lines in vivo suggested the gene might regulate aspects of erythroid differentiation .,B O O O O O O O O O O O O O O O O O O O O O O O O O O
"Epo elicited a rapid , dose - related increase in TAL1 mRNA by increasing transcription of the gene and stabilizing one of its mRNAs .",B O O O O O O O O O B I O O O O O O O O O O O B O
An Epo - inducible TAL1 DNA binding activity was identified in FVA cell nuclear extracts that subsequently decayed despite accumulating mRNA and protein .,O B O O B O O O O O O O O O O O O O O O B O O O
Induction of DNA binding activity was associated temporally with Epo - induced phosphorylation of nuclear TAL1 protein .,O O O O O O O O O B O O O O B I I O
These results indicate that Epo acts at both transcriptional and posttranscriptional levels on the TAL1 locus in Friend virus - induced erythroblasts and establish a link between Epo signaling mechanisms and a member of a family of transcription factors involved in the differentiation of diverse cell lineages .,O O O O B O O O O O O O O O B O O O O O O O O O O O O B O O O O O O O O O B I O O O O O O O O O
Nonradioactive quantification of glucocorticoid receptor expression during differentiation of human monocytic cells ( U937 ) .,O O O B I O O O O O O O O O O O
We describe a method for relative quantification of specific mRNA using a nonradioactive assay based on DNA strand competition between identical sequences of biotin - and fluorescein - labeled amplicon ( probe ) and unlabeled amplicon ( target ) during hybridization .,O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"As the target quantity increased , that of the double - labeled probe decreased in accordance with the mass action law .",O O O O O O O O O O O O O O O O O O O O O O
"This technique was successfully applied to evaluate differences in glucocorticoid receptor expression in U937 cells before and after the addition of potent differentiation inducers : 12 - O - tetradecanoylphorbol 13 - acetate ( TPA ) and a combination of all - trans retinoic acid ( RA ) and 1 , 25 - dihydroxyvitamin D2 ( VD ) .",O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
We observed that TPA treatment was associated with an increase in specific binding of [ 3H ] dexamethasone and up - regulation of GR mRNA while no enhanced GR expression was perceived with RA / VD treatment .,O O O O O O O O O O O O O O O O O O O O O O O B I O O O B O O O O O O O O O
Induction of Sp1 phosphorylation and NF - kappa B - independent HIV promoter domain activity in T lymphocytes stimulated by okadaic acid .,O O B O O B I I I I I I I O O O O O O O O O O
"In contrast to the purely enhancer - dependent effect of cytokines such as TNF on the activity of the HIV regulatory region ( LTR ) , we observed that okadaic acid ( OKA ) activates HIV transcription through both the enhancer , responding to the factor NF - kappa B , and the promoter domain of the LTR .",O O O O O O O O O O B O O B O O O O O B I I O B O O O O O O O O O O O O O O O O O O O O O O B I I I O O O B I O O B O
The inducibility of HIV LTR - driven luciferase expression constructs in lymphoblastoid cells stimulated by OKA depended on both functional Sp1 binding elements and the ability of the TATA box to bind the protein TBP .,O O O B I I I I I I O O O O O O O O O B I I I O O O O O B I O O O O B O
"In both transformed and normal lymphocytes , OKA stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus , a property of OKA not shared by TNF , phorbol ester , or PHA and interleukin 2 .",O O O O O O O O O O O O O O O O B I O O O O O O O O O O O B O O O O O B O B I O
Responsiveness of LTR constructs deleted of kappa B elements to HIV Tat expression was increased upon OKA but not TNF stimulation .,O O B I O O B I I O B I O O O O O O O B O O
"Our results suggest that SP1 phosphorylation induced by OKA , a selective inhibitor of the serine - threonine phosphatase PP2A , facilitates the formation of a transcription complex involving general transcription factors , HIV Tat , and Sp1 proteins .",O O O O B O O O O O O O O O O B I I I B O O O O O O B I O O B I O B I O O B I O
"The formation of this complex would increase , independently of an in synergy with NF - kappa B , the low basal activity of the HIV LTR observed in normal T lymphocytes .",O O O O O O O O O O O O O O B I I I O O O O O O O B I O O O O O O
"To understand the molecular bases for cytokine redundancy and pleiotropy , we have compared the Stat proteins activated in peripheral blood lymphocytes ( PBLs ) by cytokines with shared and distinct actions .",O O O O O O O O O O O O O O O B I O O O O O O O O O B O O O O O O
"Interleukin - 2 ( IL - 2 ) rapidly activated Stat5 in fresh PBL , and Stat3 and Stat5 in preactivated PBL .",B I I O B I I O O O B O O O O O B O B O O O O
"IL - 7 and IL - 15 induced the same complexes as IL - 2 , a feature explained by the existence of similar tyrosine - phosphorylated motifs in the cytoplasmic domains of IL - 2R beta and IL - 7R that can serve as docking sites for Stat proteins .",B I I O B I I O O O O O B I I O O O O O O O O O B I I I O O B I O B I I I O B I I O O O O O O O B I O
"These studies demonstrate that a single cytokine can activate different combinations of Stat proteins under different physiological conditions , and also indicate two mechanisms by which distinct cytokines can activate the same Stat protein .",O O O O O O B O O O O O B I O O O O O O O O O O O O O B O O O O B I O
I kappa B - alpha inhibits transcription factor NF - kappa B by retaining it in the cytoplasm .,B I I I I O B I B I I I O O O O O O O
"Various stimuli , typically those associated with stress or pathogens , rapidly inactivate I kappa B - alpha .",O O O O O O O O O O O O O B I I I I O
This liberates NF - kappa B to translocate to the nucleus and initiate transcription of genes important for the defense of the organism .,O O B I I I O O O O O O O O O B O O O O O O O O
Activation of NF - kappa B correlates with phosphorylation of I kappa B - alpha and requires the proteolysis of this inhibitor .,O O B I I I O O O O B I I I I O O O O O O O O
These results suggest that phosphorylation at one or both of these residues is critical for activation of NF - kappa B .,O O O O O O O O O O O O O O O O O B I I I O
We used deletion analysis and transfection assays with reporter gene constructs to examine the transcription control elements in the 5 ' flanking region of the human EpoR gene .,O O O O O O O O B I I O O O B I I O O B I I I O O B I I O
"In erythroid cells most of the transcription activity was contained in a 150 bp promoter fragment with binding sites for transcription factors AP2 , Sp1 and the erythroid - specific GATA - 1 .",O O O O O O O O O O O O B I I O O B I O B I B O B O O B I I I I I O
"The 150 bp hEpoR promoter exhibited high and low activity in erythroid OCIM1 and K562 cells , respectively , reflecting the high and low levels of constitutive hEpoR expression .",O B I I I O O O O O O O O O O O O O O O O O O O O O O B O O
The GATA - 1 and Sp1 binding sites in this promoter lacking a TATA sequence were necessary for a high level of transcription activation .,O B I I I I I I O O O O O B I O O O O O O O O O O
Protein - DNA binding studies suggested that Sp1 and two other CCGCCC binding proteins from erythroid and non - erythroid cells could bind to the Sp1 binding motif .,O O O O O O O B O O O B I I O O O O O O O O O O O B I I O
"By increasing GATA - 1 levels via co - transfection , we were able to transactivate the hEpoR promoter in K562 cells and non - erythroid cells , but not in the highly active OCIM1 cells , although GATA - 1 mRNA levels were comparable in OCIM1 and K562 .",O O B I I O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O
"Rather , hEpoR transcription activity depends on coordination between Sp1 and GATA - 1 with other cell - specific factors , including possibly other Sp1 - like binding proteins , to provide high level , tissue - specific expression .",O O B O O O O O O B O B I I O O B I I I O O O O B I I I I O O O O O O O O O O O
"Overexpression of DR - nm23 , a protein encoded by a member of the nm23 gene family , inhibits granulocyte differentiation and induces apoptosis in 32Dc13 myeloid cells .",O O B I I O O O O O O O O O B I I O O O O O O O O O O O O
Chronic myelogenous leukemia evolves in two clinically distinct stages : a chronic and a blast crisis phase .,O O O O O O O O O O O O O O O O O O
The molecular changes associated with chronic phase to blast crisis transition are largely unknown .,O O O O O O O O O O O O O O O
"We have identified a cDNA clone , DR - nm23 , differentially expressed in a blast - crisis cDNA library , which has approximately 70 % sequence similarity to the putative metastatic suppressor genes , nm23 - H1 and nm23 - H2 .",O O O O B I O B I I O O O O O B I I I I I O O O O O O O O O B I I I O B I I O B I I O
DR - nm23 mRNA is preferentially expressed at early stages of myeloid differentiation of highly purified CD34 + cells .,B I I I O O O O O O O O O O O O O O O O
"Its constitutive expression in the myeloid precursor 32Dc13 cell line , which is growth - factor dependent for both proliferation and differentiation , results in inhibition of granulocytic differentiation induced by granulocyte colony - stimulating factor and causes apoptotic cell death .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I O O O O O O
"These results are consistent with a role for DR - nm23 in normal hematopoiesis and raise the possibility that its overexpression contributes to differentiation arrest , a feature of blastic transformation in chronic myelogenous leukemia .",O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O
An interferon - gamma activation sequence mediates the transcriptional regulation of the IgG Fc receptor type IC gene by interferon - gamma .,O B I I I I O O O O O O B I I I I I O B I I O
Expression of the IgG Fc receptor type I ( Fc gamma RI ) on myeloid cells is dramatically increased by treatment with interferon - gamma ( IFN - gamma ) .,O O O B I I I I O B I I O O O O O O O O O O B I I O B I I O O
We observed that Fc gamma RI transcript levels in monoblast - like U937 cells were elevated within 3 hr and peaked 12 hr after exposure to IFN - gamma .,O O O B I I O O O O O O O O O O O O O O O O O O O O B I I O
Nuclear run - on analysis revealed that the rate of Fc gamma RI transcription was increased by IFN - gamma .,O O O O O O O O O O B I I O O O O B I I O
